in s,C1 in V
-1.97989E-02,-5.225E-03
-1.97986E-02,-3.657E-02
-1.97983E-02,-2.612E-02
-1.97979E-02,-1.567E-02
-1.97976E-02,2.612E-02
-1.97973E-02,5.225E-03
-1.97969E-02,1.567E-02
-1.97966E-02,5.225E-03
-1.97963E-02,5.225E-03
-1.97959E-02,-5.225E-03
-1.97956E-02,-2.612E-02
-1.97953E-02,5.225E-03
-1.97949E-02,-3.657E-02
-1.97946E-02,-3.657E-02
-1.97943E-02,-1.567E-02
-1.97939E-02,4.702E-02
-1.97936E-02,5.225E-03
-1.97933E-02,3.657E-02
-1.97929E-02,-3.657E-02
-1.97926E-02,-5.225E-03
-1.97923E-02,5.225E-03
-1.97919E-02,1.567E-02
-1.97916E-02,-5.225E-03
-1.97913E-02,1.567E-02
-1.97910E-02,-5.225E-03
-1.97906E-02,4.702E-02
-1.97903E-02,4.702E-02
-1.97900E-02,3.657E-02
-1.97896E-02,1.567E-02
-1.97893E-02,-3.657E-02
-1.97890E-02,2.612E-02
-1.97886E-02,2.612E-02
-1.97883E-02,-3.657E-02
-1.97880E-02,5.225E-03
-1.97876E-02,-1.567E-02
-1.97873E-02,-2.612E-02
-1.97870E-02,-5.225E-03
-1.97866E-02,-5.225E-03
-1.97863E-02,3.657E-02
-1.97860E-02,-3.657E-02
-1.97856E-02,3.657E-02
-1.97853E-02,-2.612E-02
-1.97850E-02,3.657E-02
-1.97846E-02,5.225E-03
-1.97843E-02,5.225E-03
-1.97840E-02,-3.657E-02
-1.97836E-02,-1.567E-02
-1.97833E-02,-1.567E-02
-1.97830E-02,5.225E-03
-1.97826E-02,-1.567E-02
-1.97823E-02,-2.612E-02
-1.97820E-02,3.657E-02
-1.97816E-02,1.567E-02
-1.97813E-02,2.612E-02
-1.97810E-02,-5.225E-03
-1.97806E-02,2.612E-02
-1.97803E-02,1.567E-02
-1.97800E-02,3.657E-02
-1.97796E-02,1.567E-02
-1.97793E-02,-3.657E-02
-1.97790E-02,5.225E-03
-1.97786E-02,-5.225E-03
-1.97783E-02,5.225E-03
-1.97780E-02,2.612E-02
-1.97776E-02,-5.225E-03
-1.97773E-02,5.225E-03
-1.97770E-02,3.657E-02
-1.97766E-02,-5.225E-03
-1.97763E-02,-5.225E-03
-1.97760E-02,1.567E-02
-1.97756E-02,1.567E-02
-1.97753E-02,3.657E-02
-1.97750E-02,3.657E-02
-1.97746E-02,1.567E-02
-1.97743E-02,1.567E-02
-1.97740E-02,5.225E-03
-1.97736E-02,3.657E-02
-1.97733E-02,4.702E-02
-1.97730E-02,2.612E-02
-1.97726E-02,3.657E-02
-1.97723E-02,3.657E-02
-1.97720E-02,5.225E-03
-1.97716E-02,-3.657E-02
-1.97713E-02,3.657E-02
-1.97710E-02,5.225E-03
-1.97706E-02,5.747E-02
-1.97703E-02,3.657E-02
-1.97700E-02,5.225E-03
-1.97697E-02,-5.225E-03
-1.97693E-02,5.225E-03
-1.97690E-02,-1.567E-02
-1.97687E-02,2.612E-02
-1.97683E-02,1.567E-02
-1.97680E-02,-2.612E-02
-1.97677E-02,5.225E-03
-1.97673E-02,-1.567E-02
-1.97670E-02,5.225E-03
-1.97667E-02,5.225E-03
-1.97663E-02,5.225E-03
-1.97660E-02,5.225E-03
-1.97657E-02,3.657E-02
-1.97653E-02,3.657E-02
-1.97650E-02,4.702E-02
-1.97647E-02,3.657E-02
-1.97643E-02,5.747E-02
-1.97640E-02,3.657E-02
-1.97637E-02,-2.612E-02
-1.97633E-02,-2.612E-02
-1.97630E-02,2.612E-02
-1.97627E-02,-5.225E-03
-1.97623E-02,3.657E-02
-1.97620E-02,5.225E-03
-1.97617E-02,4.702E-02
-1.97613E-02,-5.225E-03
-1.97610E-02,-3.657E-02
-1.97607E-02,5.225E-03
-1.97603E-02,-5.225E-03
-1.97600E-02,1.567E-02
-1.97597E-02,5.225E-03
-1.97593E-02,4.702E-02
-1.97590E-02,3.657E-02
-1.97587E-02,-5.225E-03
-1.97583E-02,2.612E-02
-1.97580E-02,5.225E-03
-1.97577E-02,-5.225E-03
-1.97573E-02,3.657E-02
-1.97570E-02,-3.657E-02
-1.97567E-02,5.225E-03
-1.97563E-02,-3.657E-02
-1.97560E-02,5.225E-03
-1.97557E-02,-5.225E-03
-1.97553E-02,-3.657E-02
-1.97550E-02,5.225E-03
-1.97547E-02,5.225E-03
-1.97543E-02,3.657E-02
-1.97540E-02,3.657E-02
-1.97537E-02,1.567E-02
-1.97533E-02,5.225E-03
-1.97530E-02,4.702E-02
-1.97527E-02,-5.225E-03
-1.97523E-02,2.612E-02
-1.97520E-02,3.657E-02
-1.97517E-02,4.702E-02
-1.97513E-02,5.225E-03
-1.97510E-02,5.225E-03
-1.97507E-02,5.225E-03
-1.97503E-02,-2.612E-02
